From	Entry	Reviewed	Entry Name	Protein names	Gene Names	Organism	Length	Gene Ontology (biological process)	Gene Ontology (cellular component)	Gene Ontology (molecular function)	Gene Ontology (GO)	Gene Ontology IDs
YMR175W	P50263	reviewed	SIP18_YEAST	Protein SIP18	SIP18 YMR175W YM8010.05	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	79	cellular response to water deprivation [GO:0042631]	cytoplasm [GO:0005737]	phospholipid binding [GO:0005543]	cytoplasm [GO:0005737]; phospholipid binding [GO:0005543]; cellular response to water deprivation [GO:0042631]	GO:0005543; GO:0005737; GO:0042631
YMR196W	Q04336	reviewed	YM54_YEAST	Uncharacterized protein YMR196W	YMR196W YM9646.09	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	1088	oligosaccharide metabolic process [GO:0009311]	cytoplasm [GO:0005737]	Glc3Man9GlcNAc2 oligosaccharide glucosidase activity [GO:0004573]	cytoplasm [GO:0005737]; Glc3Man9GlcNAc2 oligosaccharide glucosidase activity [GO:0004573]; oligosaccharide metabolic process [GO:0009311]	GO:0004573; GO:0005737; GO:0009311
YMR250W	Q04792	reviewed	DCE_YEAST	Glutamate decarboxylase (GAD) (EC 4.1.1.15)	GAD1 YMR250W YM9920.04	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	585	cellular response to oxidative stress [GO:0034599]; glutamate catabolic process [GO:0006538]	cytoplasm [GO:0005737]; cytosol [GO:0005829]	glutamate decarboxylase activity [GO:0004351]; pyridoxal phosphate binding [GO:0030170]	cytoplasm [GO:0005737]; cytosol [GO:0005829]; glutamate decarboxylase activity [GO:0004351]; pyridoxal phosphate binding [GO:0030170]; cellular response to oxidative stress [GO:0034599]; glutamate catabolic process [GO:0006538]	GO:0004351; GO:0005737; GO:0005829; GO:0006538; GO:0030170; GO:0034599
YMR251W	Q04806	reviewed	GTO3_YEAST	Glutathione S-transferase omega-like 3 (EC 2.5.1.18)	GTO3 YMR251W YM9920.05	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	366	glutathione metabolic process [GO:0006749]	cytoplasm [GO:0005737]	glutathione transferase activity [GO:0004364]	cytoplasm [GO:0005737]; glutathione transferase activity [GO:0004364]; glutathione metabolic process [GO:0006749]	GO:0004364; GO:0005737; GO:0006749
YNL036W	P53615	reviewed	CAN_YEAST	Carbonic anhydrase (EC 4.2.1.1) (Carbonate dehydratase) (Non-classical export protein 3)	NCE103 NCE3 YNL036W N2695	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	221	carbon utilization [GO:0015976]; cellular response to carbon dioxide [GO:0071244]; cellular response to oxidative stress [GO:0034599]	cytoplasm [GO:0005737]; mitochondrial intermembrane space [GO:0005758]; nucleus [GO:0005634]	carbonate dehydratase activity [GO:0004089]; zinc ion binding [GO:0008270]	cytoplasm [GO:0005737]; mitochondrial intermembrane space [GO:0005758]; nucleus [GO:0005634]; carbonate dehydratase activity [GO:0004089]; zinc ion binding [GO:0008270]; carbon utilization [GO:0015976]; cellular response to carbon dioxide [GO:0071244]; cellular response to oxidative stress [GO:0034599]	GO:0004089; GO:0005634; GO:0005737; GO:0005758; GO:0008270; GO:0015976; GO:0034599; GO:0071244
YNR034W-A	Q3E841	reviewed	YN034_YEAST	Uncharacterized protein YNR034W-A	YNR034W-A	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	98		cytoplasm [GO:0005737]; cytosol [GO:0005829]		cytoplasm [GO:0005737]; cytosol [GO:0005829]	GO:0005737; GO:0005829
YOL047C	Q08218	reviewed	LDS2_YEAST	Outer spore wall protein LDS2 (Lipid droplets in sporulation protein 2)	LDS2 YOL047C	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	356	ascospore wall assembly [GO:0030476]	ascospore wall [GO:0005619]; ascus lipid droplet [GO:0005633]; cytoplasm [GO:0005737]; lipid droplet [GO:0005811]; prospore membrane [GO:0005628]		ascospore wall [GO:0005619]; ascus lipid droplet [GO:0005633]; cytoplasm [GO:0005737]; lipid droplet [GO:0005811]; prospore membrane [GO:0005628]; ascospore wall assembly [GO:0030476]	GO:0005619; GO:0005628; GO:0005633; GO:0005737; GO:0005811; GO:0030476
YOL052C-A	P89113	reviewed	DDR2_YEAST	Protein DDR2	DDR2 YOL052C-A YOL052BC YOL053C-A	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	61	cellular response to heat [GO:0034605]; cellular response to hydrogen peroxide [GO:0070301]; cellular response to starvation [GO:0009267]; DNA damage response [GO:0006974]	cytoplasm [GO:0005737]; fungal-type vacuole [GO:0000324]		cytoplasm [GO:0005737]; fungal-type vacuole [GO:0000324]; cellular response to heat [GO:0034605]; cellular response to hydrogen peroxide [GO:0070301]; cellular response to starvation [GO:0009267]; DNA damage response [GO:0006974]	GO:0000324; GO:0005737; GO:0006974; GO:0009267; GO:0034605; GO:0070301
YOL084W	Q12252	reviewed	PHM7_YEAST	Phosphate metabolism protein 7	PHM7 YOL084W 00953	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	991	phosphate ion transport [GO:0006817]	endoplasmic reticulum [GO:0005783]; fungal-type vacuole [GO:0000324]; plasma membrane [GO:0005886]	calcium-activated cation channel activity [GO:0005227]	endoplasmic reticulum [GO:0005783]; fungal-type vacuole [GO:0000324]; plasma membrane [GO:0005886]; calcium-activated cation channel activity [GO:0005227]; phosphate ion transport [GO:0006817]	GO:0000324; GO:0005227; GO:0005783; GO:0005886; GO:0006817
YOR120W	P14065	reviewed	GCY1_YEAST	Glycerol 2-dehydrogenase (NADP(+)) (EC 1.1.1.156) (Galactose-inducible crystallin-like protein 1)	GCY1 GCY YOR120W O31567 YOR3269W	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	312	arabinose catabolic process [GO:0019568]; cellular response to oxidative stress [GO:0034599]; D-xylose catabolic process [GO:0042843]; glycerol to glycerone phosphate metabolic process [GO:0061610]	cytoplasm [GO:0005737]; cytosol [GO:0005829]; nucleus [GO:0005634]	aldo-keto reductase (NADPH) activity [GO:0004033]; aldose reductase (NADPH) activity [GO:0004032]; glycerol 2-dehydrogenase (NADP+) activity [GO:0047953]; glycerol dehydrogenase [NAD(P)+] activity [GO:1990042]; mRNA binding [GO:0003729]; oxidoreductase activity [GO:0016491]	cytoplasm [GO:0005737]; cytosol [GO:0005829]; nucleus [GO:0005634]; aldo-keto reductase (NADPH) activity [GO:0004033]; aldose reductase (NADPH) activity [GO:0004032]; glycerol 2-dehydrogenase (NADP+) activity [GO:0047953]; glycerol dehydrogenase [NAD(P)+] activity [GO:1990042]; mRNA binding [GO:0003729]; oxidoreductase activity [GO:0016491]; arabinose catabolic process [GO:0019568]; cellular response to oxidative stress [GO:0034599]; D-xylose catabolic process [GO:0042843]; glycerol to glycerone phosphate metabolic process [GO:0061610]	GO:0003729; GO:0004032; GO:0004033; GO:0005634; GO:0005737; GO:0005829; GO:0016491; GO:0019568; GO:0034599; GO:0042843; GO:0047953; GO:0061610; GO:1990042
YOR173W	Q12123	reviewed	DCS2_YEAST	Inactive diphosphatase DCS2 (Histidine triad protein) (Protein Dcs2p)	DCS2 YOR173W O3625	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	353	cellular response to nutrient [GO:0031670]; cellular response to starvation [GO:0009267]; deadenylation-dependent decapping of nuclear-transcribed mRNA [GO:0000290]; nuclear-transcribed mRNA catabolic process [GO:0000956]; nuclear-transcribed mRNA catabolic process, nonsense-mediated decay [GO:0000184]; response to heat [GO:0009408]; response to nutrient [GO:0007584]; response to osmotic stress [GO:0006970]; response to oxidative stress [GO:0006979]	cytoplasm [GO:0005737]; nucleus [GO:0005634]; P-body [GO:0000932]; perinuclear region of cytoplasm [GO:0048471]	enzyme inhibitor activity [GO:0004857]; hydrolase activity [GO:0016787]; protein heterodimerization activity [GO:0046982]; protein homodimerization activity [GO:0042803]; RNA 7-methylguanosine cap binding [GO:0000340]	cytoplasm [GO:0005737]; nucleus [GO:0005634]; P-body [GO:0000932]; perinuclear region of cytoplasm [GO:0048471]; enzyme inhibitor activity [GO:0004857]; hydrolase activity [GO:0016787]; protein heterodimerization activity [GO:0046982]; protein homodimerization activity [GO:0042803]; RNA 7-methylguanosine cap binding [GO:0000340]; cellular response to nutrient [GO:0031670]; cellular response to starvation [GO:0009267]; deadenylation-dependent decapping of nuclear-transcribed mRNA [GO:0000290]; nuclear-transcribed mRNA catabolic process [GO:0000956]; nuclear-transcribed mRNA catabolic process, nonsense-mediated decay [GO:0000184]; response to heat [GO:0009408]; response to nutrient [GO:0007584]; response to osmotic stress [GO:0006970]; response to oxidative stress [GO:0006979]	GO:0000184; GO:0000290; GO:0000340; GO:0000932; GO:0000956; GO:0004857; GO:0005634; GO:0005737; GO:0006970; GO:0006979; GO:0007584; GO:0009267; GO:0009408; GO:0016787; GO:0031670; GO:0042803; GO:0046982; GO:0048471
YOR185C	P32836	reviewed	GSP2_YEAST	GTP-binding nuclear protein GSP2/CNR2	GSP2 CNR2 YOR185C	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	220	nucleus organization [GO:0006997]; poly(A)+ mRNA export from nucleus [GO:0016973]; protein import into nucleus [GO:0006606]; ribosomal subunit export from nucleus [GO:0000054]	cytoplasm [GO:0005737]; nucleus [GO:0005634]	GTP binding [GO:0005525]; GTPase activity [GO:0003924]	cytoplasm [GO:0005737]; nucleus [GO:0005634]; GTP binding [GO:0005525]; GTPase activity [GO:0003924]; nucleus organization [GO:0006997]; poly(A)+ mRNA export from nucleus [GO:0016973]; protein import into nucleus [GO:0006606]; ribosomal subunit export from nucleus [GO:0000054]	GO:0000054; GO:0003924; GO:0005525; GO:0005634; GO:0005737; GO:0006606; GO:0006997; GO:0016973
YOR313C	P09937	reviewed	SPS4_YEAST	Sporulation-specific protein 4	SPS4 YOR313C O6120	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	338	ascospore formation [GO:0030437]	lipid droplet [GO:0005811]		lipid droplet [GO:0005811]; ascospore formation [GO:0030437]	GO:0005811; GO:0030437
YOR348C	P15380	reviewed	PUT4_YEAST	Proline-specific permease	PUT4 YOR348C O6345	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	627	amino acid transmembrane transport [GO:0003333]; gamma-aminobutyric acid transport [GO:0015812]; neutral amino acid transport [GO:0015804]; proline transport [GO:0015824]	membrane [GO:0016020]; plasma membrane [GO:0005886]	amino acid transmembrane transporter activity [GO:0015171]; L-proline transmembrane transporter activity [GO:0015193]; neutral L-amino acid transmembrane transporter activity [GO:0015175]	membrane [GO:0016020]; plasma membrane [GO:0005886]; amino acid transmembrane transporter activity [GO:0015171]; L-proline transmembrane transporter activity [GO:0015193]; neutral L-amino acid transmembrane transporter activity [GO:0015175]; amino acid transmembrane transport [GO:0003333]; gamma-aminobutyric acid transport [GO:0015812]; neutral amino acid transport [GO:0015804]; proline transport [GO:0015824]	GO:0003333; GO:0005886; GO:0015171; GO:0015175; GO:0015193; GO:0015804; GO:0015812; GO:0015824; GO:0016020
YOR374W	P46367	reviewed	ALDH4_YEAST	Potassium-activated aldehyde dehydrogenase, mitochondrial (EC 1.2.1.-) (EC 1.2.1.4) (K(+)-activated acetaldehyde dehydrogenase) (K(+)-ACDH)	ALD4 ALD7 ALDH2 YOR374W O6730	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	519	acetate biosynthetic process [GO:0019413]; ethanol metabolic process [GO:0006067]; lipid metabolic process [GO:0006629]; NADPH regeneration [GO:0006740]	mitochondrial nucleoid [GO:0042645]; mitochondrion [GO:0005739]	acetaldehyde dehydrogenase (NADP+) activity [GO:0140088]; aldehyde dehydrogenase (NAD+) activity [GO:0004029]; aldehyde dehydrogenase [NAD(P)+] activity [GO:0004030]	mitochondrial nucleoid [GO:0042645]; mitochondrion [GO:0005739]; acetaldehyde dehydrogenase (NADP+) activity [GO:0140088]; aldehyde dehydrogenase (NAD+) activity [GO:0004029]; aldehyde dehydrogenase [NAD(P)+] activity [GO:0004030]; acetate biosynthetic process [GO:0019413]; ethanol metabolic process [GO:0006067]; lipid metabolic process [GO:0006629]; NADPH regeneration [GO:0006740]	GO:0004029; GO:0004030; GO:0005739; GO:0006067; GO:0006629; GO:0006740; GO:0019413; GO:0042645; GO:0140088
YPL019C	Q02725	reviewed	VTC3_YEAST	Vacuolar transporter chaperone 3 complex subunit 3 (Phosphate metabolism protein 2) (SPX-dependent polyphosphate polymerase VTC subunit 3) (Vacuolar membrane polyphosphate polymerase accessory subunit 3) (PolyP polymerase)	VTC3 PHM2 YPL019C	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	835	engulfment of target by autophagosome [GO:0061736]; intracellular phosphate ion homeostasis [GO:0030643]; microautophagy [GO:0016237]; polyphosphate biosynthetic process [GO:0006799]; polyphosphate metabolic process [GO:0006797]; vacuolar transport [GO:0007034]; vacuole fusion, non-autophagic [GO:0042144]	autophagosome membrane [GO:0000421]; cell cortex [GO:0005938]; cytoplasmic vesicle [GO:0031410]; endoplasmic reticulum [GO:0005783]; endoplasmic reticulum membrane [GO:0005789]; fungal-type vacuole membrane [GO:0000329]; vacuolar transporter chaperone complex [GO:0033254]	calmodulin binding [GO:0005516]; inositol hexakisphosphate binding [GO:0000822]	autophagosome membrane [GO:0000421]; cell cortex [GO:0005938]; cytoplasmic vesicle [GO:0031410]; endoplasmic reticulum [GO:0005783]; endoplasmic reticulum membrane [GO:0005789]; fungal-type vacuole membrane [GO:0000329]; vacuolar transporter chaperone complex [GO:0033254]; calmodulin binding [GO:0005516]; inositol hexakisphosphate binding [GO:0000822]; engulfment of target by autophagosome [GO:0061736]; intracellular phosphate ion homeostasis [GO:0030643]; microautophagy [GO:0016237]; polyphosphate biosynthetic process [GO:0006799]; polyphosphate metabolic process [GO:0006797]; vacuolar transport [GO:0007034]; vacuole fusion, non-autophagic [GO:0042144]	GO:0000329; GO:0000421; GO:0000822; GO:0005516; GO:0005783; GO:0005789; GO:0005938; GO:0006797; GO:0006799; GO:0007034; GO:0016237; GO:0030643; GO:0031410; GO:0033254; GO:0042144; GO:0061736
YPL095C	Q02891	reviewed	MCFS1_YEAST	Medium-chain fatty acid ethyl ester synthase/esterase 1 (Alcohol O-acetyltransferase) (EC 2.3.1.84, EC 3.1.1.-) (Ethyl ester biosynthesis protein 1)	EEB1 YPL095C LPG13C	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	456	medium-chain fatty acid biosynthetic process [GO:0051792]; medium-chain fatty acid catabolic process [GO:0051793]		acetylesterase activity [GO:0008126]; alcohol O-acetyltransferase activity [GO:0004026]; monoacylglycerol lipase activity [GO:0047372]; short-chain carboxylesterase activity [GO:0034338]	acetylesterase activity [GO:0008126]; alcohol O-acetyltransferase activity [GO:0004026]; monoacylglycerol lipase activity [GO:0047372]; short-chain carboxylesterase activity [GO:0034338]; medium-chain fatty acid biosynthetic process [GO:0051792]; medium-chain fatty acid catabolic process [GO:0051793]	GO:0004026; GO:0008126; GO:0034338; GO:0047372; GO:0051792; GO:0051793
YPL186C	Q08926	reviewed	UIP4_YEAST	ULP1-interacting protein 4	UIP4 YPL186C	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	304	nuclear envelope organization [GO:0006998]	endoplasmic reticulum [GO:0005783]; endoplasmic reticulum membrane [GO:0005789]; mitochondrial outer membrane [GO:0005741]; nuclear envelope [GO:0005635]		endoplasmic reticulum [GO:0005783]; endoplasmic reticulum membrane [GO:0005789]; mitochondrial outer membrane [GO:0005741]; nuclear envelope [GO:0005635]; nuclear envelope organization [GO:0006998]	GO:0005635; GO:0005741; GO:0005783; GO:0005789; GO:0006998
YPL223C	Q08969	reviewed	GRE1_YEAST	Protein GRE1 (Genes de respuesta a estres protein 1) (Hydrophilin)	GRE1 YPL223C	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	168		cytoplasm [GO:0005737]		cytoplasm [GO:0005737]	GO:0005737
YPL240C	P02829	reviewed	HSP82_YEAST	ATP-dependent molecular chaperone HSP82 (82 kDa heat shock protein) (Heat shock protein Hsp90 heat-inducible isoform)	HSP82 HSP90 YPL240C	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	709	'de novo' protein folding [GO:0006458]; box C/D snoRNP assembly [GO:0000492]; cellular response to heat [GO:0034605]; positive regulation of telomere maintenance via telomerase [GO:0032212]; proteasome assembly [GO:0043248]; protein folding [GO:0006457]; protein maturation [GO:0051604]; protein refolding [GO:0042026]; protein stabilization [GO:0050821]; protein targeting to mitochondrion [GO:0006626]; regulation of telomere maintenance [GO:0032204]; response to osmotic stress [GO:0006970]; response to oxygen levels [GO:0070482]	cytoplasm [GO:0005737]; cytosol [GO:0005829]; nucleus [GO:0005634]; perinuclear region of cytoplasm [GO:0048471]; plasma membrane [GO:0005886]; protein-containing complex [GO:0032991]	ATP binding [GO:0005524]; ATP hydrolysis activity [GO:0016887]; ATP-dependent protein folding chaperone [GO:0140662]; identical protein binding [GO:0042802]; unfolded protein binding [GO:0051082]	cytoplasm [GO:0005737]; cytosol [GO:0005829]; nucleus [GO:0005634]; perinuclear region of cytoplasm [GO:0048471]; plasma membrane [GO:0005886]; protein-containing complex [GO:0032991]; ATP binding [GO:0005524]; ATP hydrolysis activity [GO:0016887]; ATP-dependent protein folding chaperone [GO:0140662]; identical protein binding [GO:0042802]; unfolded protein binding [GO:0051082]; 'de novo' protein folding [GO:0006458]; box C/D snoRNP assembly [GO:0000492]; cellular response to heat [GO:0034605]; positive regulation of telomere maintenance via telomerase [GO:0032212]; proteasome assembly [GO:0043248]; protein folding [GO:0006457]; protein maturation [GO:0051604]; protein refolding [GO:0042026]; protein stabilization [GO:0050821]; protein targeting to mitochondrion [GO:0006626]; regulation of telomere maintenance [GO:0032204]; response to osmotic stress [GO:0006970]; response to oxygen levels [GO:0070482]	GO:0000492; GO:0005524; GO:0005634; GO:0005737; GO:0005829; GO:0005886; GO:0006457; GO:0006458; GO:0006626; GO:0006970; GO:0016887; GO:0032204; GO:0032212; GO:0032991; GO:0034605; GO:0042026; GO:0042802; GO:0043248; GO:0048471; GO:0050821; GO:0051082; GO:0051604; GO:0070482; GO:0140662
YPL281C	P0CX11	reviewed	ERR2_YEAST	Enolase-related protein 2 (EC 4.2.1.11) (2-phospho-D-glycerate hydro-lyase) (2-phosphoglycerate dehydratase)	ERR2 YPL281C	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	437	glycolytic process [GO:0006096]	phosphopyruvate hydratase complex [GO:0000015]	magnesium ion binding [GO:0000287]; phosphopyruvate hydratase activity [GO:0004634]	phosphopyruvate hydratase complex [GO:0000015]; magnesium ion binding [GO:0000287]; phosphopyruvate hydratase activity [GO:0004634]; glycolytic process [GO:0006096]	GO:0000015; GO:0000287; GO:0004634; GO:0006096
